,SiOs postliste 07.12.15 - 13.12.15,,
Sist endret dato,Dok # Tittel,Applikasjon,Saksbehandler
08.12.2015,"43499 Søknad om omdisponering av tilsagn om tilskudd til studentboligbygging, brev ti",ACROBAT,Helge Christian Haugen
,l Kunnskapsdepartementet 8.12.15,,
08.12.2015,"43501 Høring - Forslag om endret fastsetting av grunnlaget for korttidsytelsene, e-post",MS OUTLOOK,Torgunn Kveberg
,fra Arbeidsgiverforeningen Spekter 30.11.15,,
09.12.2015,"43511 Høring - Forslag til endring i forskrift om rammeplan for ingeniørutdanning,Kunn",MS OUTLOOK,Torgunn Kveberg
,skapsdepartementet 7.12.15,,
07.12.2015,"43480 Høring - Revidert reglement for godkjenning av studentforeninger, UiO 7.12.15",MS OUTLOOK,Torgunn Kveberg
07.12.2015,"43485 Statsbudsjettet 2015 – Kap. 270 post 74 – Tilskudd til studentsamskipnadene, s",MS OUTLOOK,Torgunn Kveberg
,upplerende tilskuddsbrev fra Kunnskapsdepartemenet 3.12.15,,
